"Parent","GCA_Effect_GY"
"1",54.8522320493042
"2",-11.6270530307177
"3",2.34337038333126
"4",-11.7132902122859
"5",71.9666819122605
"6",-55.5685277180499
"7",-11.0509782107304
"8",-38.6660401306817
"9",-3.80124285659175
"10",94.3462516770876
"11",-24.4119292513924
"12",-52.1036464438491
"13",62.421014993855
"14",-69.1002688067192
"15",-24.0940419371797
"16",16.2074675823608
