"Parent","GCA_Effect_EASP_Control"
"1",-0.00234365650021582
"2",-0.00234365650021651
"3",0.133189843040862
"4",-0.110770456133078
"5",-0.21564692425621
"6",0.163846874458808
"7",-0.107220124623348
"8",-0.0259000248987012
"9",0.122104848893608
"10",-0.148962150188549
"11",0.094998148985392
"12",0.0407847491689609
"13",0.0348956570693399
"14",0.00778895716112468
"15",0.170429156610418
"16",-0.154851242288169
