"Parent","GCA_Effect_EASP_Control","GCA_Effect_EASP_Infested","GCA_Effect_EASP_Low","GCA_Effect_EASP_High"
"1",-0.00234365650021582,-0.00234365650021582,-0.100751713831323,0.0542128532376409
"2",-0.00234365650021651,-0.00234365650021651,-0.0851683225067071,0.0592580696401448
"3",0.133189843040862,0.133189843040862,0.0580613799905115,0.198593051759497
"4",-0.110770456133078,-0.110770456133078,-0.189934373589832,-0.0522530099387686
"5",-0.21564692425621,-0.21564692425621,-0.290990535242812,-0.139562291247633
"6",0.163846874458808,0.163846874458808,0.108357003855612,0.240421609185263
"7",-0.107220124623348,-0.107220124623348,-0.173396588508115,-0.0228822502261782
"8",-0.0259000248987012,-0.0259000248987012,-0.110488733557404,0.0579739771654114
"9",0.122104848893608,0.122104848893608,0.0266562093820112,0.173540239415845
"10",-0.148962150188549,-0.148962150188549,-0.24750394102923,-0.0903812151638922
"11",0.094998148985392,0.094998148985392,0.00335377113027363,0.166179044247324
"12",0.0407847491689609,0.0407847491689609,-0.00989966840570553,0.0983128631734872
"13",0.0348956570693399,0.0348956570693399,-0.0461737999261249,0.129669776054855
"14",0.00778895716112468,0.00778895716112468,-0.0835054512654954,0.0924950155026688
"15",0.170429156610418,0.170429156610418,0.0854037135086505,0.261243654002111
"16",-0.154851242288169,-0.154851242288169,-0.206104050314207,-0.0650742240652111
